"binding_id","variant_id","variant_name","base_pattern_id","base_edge_id","strategy_family_id","edge_type","from_state_id","to_state_id","predicate_id","predicate_text","predicate_classes","side_binding","terminal_direction","condition_selectors","condition_candidate_ids","condition_candidate_keys","contradiction_condition_ids","contradiction_condition_keys","freshness_condition_ids","freshness_condition_keys","location_code","location_condition_ids","location_availability","evaluation_contract","observability","implementation_status","expiry_class","binding_status"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-PREVIOUS_DAY_EXTREME-001::E05","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-PREVIOUS_DAY_EXTREME-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Previous Day High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E05","STR-EXHAUSTION-REVERSAL","ADVANCE","S04_OBSERVED","S05_OBSERVED","OPR-051","さらに少ないbuy prints","TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION","EXPLICIT_BUY_OR_BID_COMPONENT","SHORT","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002 CD-G16-007 CD-G16-008 CD-G16-033 CD-G16-034 CD-G10-014 CD-G04-015 CD-G08-005 CD-G08-029","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s buyer_fade_active seller_fade_active buy_momentum_fading sell_momentum_fading delta_acceleration_5s trade_rate_percentile_1m buy_trade_count_1s sell_trade_count_1s","CD-G16-007 CD-G16-008 CD-G16-009 CD-G16-010 CD-G04-015","buyer_fade_active seller_fade_active buyers_jump_in sellers_jump_in trade_rate_percentile_1m","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","PREVIOUS_DAY_EXTREME","CD-G03-015 CD-G03-016","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","COMPOSITE_CONDITION_AVAILABLE DERIVED_EVALUATOR_REQUIRED","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-PREVIOUS_DAY_EXTREME-001::E06","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-PREVIOUS_DAY_EXTREME-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Previous Day High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E06","STR-EXHAUSTION-REVERSAL","ADVANCE","S05_OBSERVED","S06_OBSERVED","OPR-052","sellers参加","TAPE_AGGRESSION","EXPLICIT_SELL_OR_ASK_COMPONENT","SHORT","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s","CD-G16-007 CD-G16-008","buyer_fade_active seller_fade_active","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","PREVIOUS_DAY_EXTREME","CD-G03-015 CD-G03-016","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","DERIVED_EVALUATOR_REQUIRED","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-PREVIOUS_DAY_EXTREME-001::E90","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-PREVIOUS_DAY_EXTREME-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Previous Day High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E90","STR-EXHAUSTION-REVERSAL","TERMINAL","S06_OBSERVED","S90_ORDER_READY","ENGINE-TERMINAL","SHORT_READY","ENGINE_TERMINAL","DYNAMIC_FROM_PATTERN_CONTEXT","SHORT","ENGINE_STATE","","","","","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent","PREVIOUS_DAY_EXTREME","CD-G03-015 CD-G03-016","AVAILABLE","Emit direction_READY to risk/execution gate only after prior state completed.","DIRECT","ENGINE_NATIVE","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-PREVIOUS_DAY_EXTREME-001::E98","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-PREVIOUS_DAY_EXTREME-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Previous Day High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E98","STR-EXHAUSTION-REVERSAL","INVALIDATE","ANY_ACTIVE_STATE","S98_INVALIDATED","INV-011","buyersが再加速してlevel突破","COMPOSITE_INVALIDATION TAPE_AGGRESSION","EXPLICIT_BUY_OR_BID_COMPONENT","SHORT","ANY_MATCHED_ATOM SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s","CD-G16-007 CD-G16-008","buyer_fade_active seller_fade_active","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016 CD-G01-021 CD-G01-005 CD-G01-019 CD-G01-027","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent cross_source_time_aligned trade_event_fresh persistence_confirmed window_complete","PREVIOUS_DAY_EXTREME","CD-G03-015 CD-G03-016","AVAILABLE","ANY invalidation atom true terminates instance.","DIRECT","DERIVED_EVALUATOR_REQUIRED ENGINE_NATIVE","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-PREVIOUS_DAY_EXTREME-001::E99","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-PREVIOUS_DAY_EXTREME-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Previous Day High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E99","STR-EXHAUSTION-REVERSAL","EXPIRE","ANY_ACTIVE_STATE","S99_EXPIRED","ENGINE-EXPIRY","expiry_class=RETESTの較正済み期限到達","ENGINE_EXPIRY","DYNAMIC_FROM_PATTERN_CONTEXT","SHORT","ENGINE_TIME","","","","","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent","PREVIOUS_DAY_EXTREME","CD-G03-015 CD-G03-016","AVAILABLE","Versioned deadline reached before terminal; expire without intent.","DIRECT","ENGINE_NATIVE","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001::E00","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Rolling 5m High","PAT-EXH-BUYER-DOUBLE-FADE-001","","STR-EXHAUSTION-REVERSAL","LOCATION_ARM","S00_ARMED_BY_HOOK","V00_LOCATION_CONTEXT_CONFIRMED","LOC::ROLLING_5M_EXTREME","Rolling 5m High context confirmed","LOCATION_CONTEXT","DYNAMIC_FROM_PATTERN_CONTEXT","SHORT","VARIANT_LOCATION","CD-G03-025 CD-G03-026","distance_to_rolling_5m_high relation_to_rolling_5m_high","","","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ROLLING_5M_EXTREME","CD-G03-025 CD-G03-026","AVAILABLE","At least one calibrated location route confirms context; candidates are OR routes.","DIRECT","VARIANT_LOCATION_SELECTOR","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001::E01","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Rolling 5m High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E01","STR-EXHAUSTION-REVERSAL","ADVANCE","V00_LOCATION_CONTEXT_CONFIRMED","S01_OBSERVED","OPR-048","upper key level","LOCATION_CONTEXT","DYNAMIC_FROM_PATTERN_CONTEXT","SHORT","VARIANT_LOCATION","CD-G03-025 CD-G03-026","distance_to_rolling_5m_high relation_to_rolling_5m_high","","","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ROLLING_5M_EXTREME","CD-G03-025 CD-G03-026","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","VARIANT_LOCATION_SELECTOR","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001::E02","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Rolling 5m High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E02","STR-EXHAUSTION-REVERSAL","ADVANCE","S01_OBSERVED","S02_OBSERVED","OPR-049","buyer prints急減","TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION","EXPLICIT_BUY_OR_BID_COMPONENT","SHORT","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002 CD-G16-007 CD-G16-008 CD-G16-033 CD-G16-034 CD-G10-014 CD-G04-015 CD-G08-005 CD-G08-029","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s buyer_fade_active seller_fade_active buy_momentum_fading sell_momentum_fading delta_acceleration_5s trade_rate_percentile_1m buy_trade_count_1s sell_trade_count_1s","CD-G16-007 CD-G16-008 CD-G16-009 CD-G16-010 CD-G04-015","buyer_fade_active seller_fade_active buyers_jump_in sellers_jump_in trade_rate_percentile_1m","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ROLLING_5M_EXTREME","CD-G03-025 CD-G03-026","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","COMPOSITE_CONDITION_AVAILABLE DERIVED_EVALUATOR_REQUIRED","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001::E03","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Rolling 5m High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E03","STR-EXHAUSTION-REVERSAL","ADVANCE","S02_OBSERVED","S03_OBSERVED","OPR-050","pause","TEMPORAL_SEQUENCE","DYNAMIC_FROM_PATTERN_CONTEXT","SHORT","ENGINE_TIME","","","","","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016 CD-G01-019 CD-G01-027","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent persistence_confirmed window_complete","ROLLING_5M_EXTREME","CD-G03-025 CD-G03-026","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","ENGINE_NATIVE","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001::E04","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Rolling 5m High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E04","STR-EXHAUSTION-REVERSAL","ADVANCE","S03_OBSERVED","S04_OBSERVED","OPR-017","同価格再test","RETEST_SEQUENCE","DYNAMIC_FROM_PATTERN_CONTEXT","SHORT","REFERENCE_SIDE_RESOLVED VARIANT_LOCATION","CD-G16-013 CD-G16-014 CD-G03-025 CD-G03-026","repeated_high_test repeated_low_test distance_to_rolling_5m_high relation_to_rolling_5m_high","CD-G16-021 CD-G16-022 CD-G16-023 CD-G16-024","upside_breakout_follow_through downside_breakout_follow_through upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ROLLING_5M_EXTREME","CD-G03-025 CD-G03-026","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","COMPOSITE_CONDITION_AVAILABLE","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001::E05","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Rolling 5m High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E05","STR-EXHAUSTION-REVERSAL","ADVANCE","S04_OBSERVED","S05_OBSERVED","OPR-051","さらに少ないbuy prints","TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION","EXPLICIT_BUY_OR_BID_COMPONENT","SHORT","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002 CD-G16-007 CD-G16-008 CD-G16-033 CD-G16-034 CD-G10-014 CD-G04-015 CD-G08-005 CD-G08-029","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s buyer_fade_active seller_fade_active buy_momentum_fading sell_momentum_fading delta_acceleration_5s trade_rate_percentile_1m buy_trade_count_1s sell_trade_count_1s","CD-G16-007 CD-G16-008 CD-G16-009 CD-G16-010 CD-G04-015","buyer_fade_active seller_fade_active buyers_jump_in sellers_jump_in trade_rate_percentile_1m","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ROLLING_5M_EXTREME","CD-G03-025 CD-G03-026","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","COMPOSITE_CONDITION_AVAILABLE DERIVED_EVALUATOR_REQUIRED","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001::E06","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Rolling 5m High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E06","STR-EXHAUSTION-REVERSAL","ADVANCE","S05_OBSERVED","S06_OBSERVED","OPR-052","sellers参加","TAPE_AGGRESSION","EXPLICIT_SELL_OR_ASK_COMPONENT","SHORT","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s","CD-G16-007 CD-G16-008","buyer_fade_active seller_fade_active","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ROLLING_5M_EXTREME","CD-G03-025 CD-G03-026","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","DERIVED_EVALUATOR_REQUIRED","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001::E90","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Rolling 5m High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E90","STR-EXHAUSTION-REVERSAL","TERMINAL","S06_OBSERVED","S90_ORDER_READY","ENGINE-TERMINAL","SHORT_READY","ENGINE_TERMINAL","DYNAMIC_FROM_PATTERN_CONTEXT","SHORT","ENGINE_STATE","","","","","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent","ROLLING_5M_EXTREME","CD-G03-025 CD-G03-026","AVAILABLE","Emit direction_READY to risk/execution gate only after prior state completed.","DIRECT","ENGINE_NATIVE","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001::E98","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Rolling 5m High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E98","STR-EXHAUSTION-REVERSAL","INVALIDATE","ANY_ACTIVE_STATE","S98_INVALIDATED","INV-011","buyersが再加速してlevel突破","COMPOSITE_INVALIDATION TAPE_AGGRESSION","EXPLICIT_BUY_OR_BID_COMPONENT","SHORT","ANY_MATCHED_ATOM SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s","CD-G16-007 CD-G16-008","buyer_fade_active seller_fade_active","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016 CD-G01-021 CD-G01-005 CD-G01-019 CD-G01-027","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent cross_source_time_aligned trade_event_fresh persistence_confirmed window_complete","ROLLING_5M_EXTREME","CD-G03-025 CD-G03-026","AVAILABLE","ANY invalidation atom true terminates instance.","DIRECT","DERIVED_EVALUATOR_REQUIRED ENGINE_NATIVE","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001::E99","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-ROLLING_5M_EXTREME-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Rolling 5m High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E99","STR-EXHAUSTION-REVERSAL","EXPIRE","ANY_ACTIVE_STATE","S99_EXPIRED","ENGINE-EXPIRY","expiry_class=RETESTの較正済み期限到達","ENGINE_EXPIRY","DYNAMIC_FROM_PATTERN_CONTEXT","SHORT","ENGINE_TIME","","","","","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent","ROLLING_5M_EXTREME","CD-G03-025 CD-G03-026","AVAILABLE","Versioned deadline reached before terminal; expire without intent.","DIRECT","ENGINE_NATIVE","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-VALUE_AREA_EDGE-001::E00","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-VALUE_AREA_EDGE-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Value Area High","PAT-EXH-BUYER-DOUBLE-FADE-001","","STR-EXHAUSTION-REVERSAL","LOCATION_ARM","S00_ARMED_BY_HOOK","V00_LOCATION_CONTEXT_CONFIRMED","LOC::VALUE_AREA_EDGE","Value Area High context confirmed","LOCATION_CONTEXT","DYNAMIC_FROM_PATTERN_CONTEXT","SHORT","VARIANT_LOCATION","CD-G03-043 CD-G03-044 CD-G11-003 CD-G11-004","distance_to_profile_vah relation_to_profile_vah value_area_high_distance_session value_area_high_distance_rolling_1h","","","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","VALUE_AREA_EDGE","CD-G03-043 CD-G03-044 CD-G11-003 CD-G11-004","AVAILABLE","At least one calibrated location route confirms context; candidates are OR routes.","DIRECT","VARIANT_LOCATION_SELECTOR","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-VALUE_AREA_EDGE-001::E01","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-VALUE_AREA_EDGE-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Value Area High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E01","STR-EXHAUSTION-REVERSAL","ADVANCE","V00_LOCATION_CONTEXT_CONFIRMED","S01_OBSERVED","OPR-048","upper key level","LOCATION_CONTEXT","DYNAMIC_FROM_PATTERN_CONTEXT","SHORT","VARIANT_LOCATION","CD-G03-043 CD-G03-044 CD-G11-003 CD-G11-004","distance_to_profile_vah relation_to_profile_vah value_area_high_distance_session value_area_high_distance_rolling_1h","","","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","VALUE_AREA_EDGE","CD-G03-043 CD-G03-044 CD-G11-003 CD-G11-004","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","VARIANT_LOCATION_SELECTOR","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-VALUE_AREA_EDGE-001::E02","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-VALUE_AREA_EDGE-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Value Area High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E02","STR-EXHAUSTION-REVERSAL","ADVANCE","S01_OBSERVED","S02_OBSERVED","OPR-049","buyer prints急減","TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION","EXPLICIT_BUY_OR_BID_COMPONENT","SHORT","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002 CD-G16-007 CD-G16-008 CD-G16-033 CD-G16-034 CD-G10-014 CD-G04-015 CD-G08-005 CD-G08-029","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s buyer_fade_active seller_fade_active buy_momentum_fading sell_momentum_fading delta_acceleration_5s trade_rate_percentile_1m buy_trade_count_1s sell_trade_count_1s","CD-G16-007 CD-G16-008 CD-G16-009 CD-G16-010 CD-G04-015","buyer_fade_active seller_fade_active buyers_jump_in sellers_jump_in trade_rate_percentile_1m","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","VALUE_AREA_EDGE","CD-G03-043 CD-G03-044 CD-G11-003 CD-G11-004","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","COMPOSITE_CONDITION_AVAILABLE DERIVED_EVALUATOR_REQUIRED","RETEST","UNVALIDATED"
"VAR-EXH-BUYER-DOUBLE-FADE-SHORT-VALUE_AREA_EDGE-001::E03","VAR-EXH-BUYER-DOUBLE-FADE-SHORT-VALUE_AREA_EDGE-001","Exhaustion Reversal / Buyer Fade / Weaker Retest / SHORT / Value Area High","PAT-EXH-BUYER-DOUBLE-FADE-001","PAT-EXH-BUYER-DOUBLE-FADE-001::E03","STR-EXHAUSTION-REVERSAL","ADVANCE","S02_OBSERVED","S03_OBSERVED","OPR-050","pause","TEMPORAL_SEQUENCE","DYNAMIC_FROM_PATTERN_CONTEXT","SHORT","ENGINE_TIME","","","","","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016 CD-G01-019 CD-G01-027","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent persistence_confirmed window_complete","VALUE_AREA_EDGE","CD-G03-043 CD-G03-044 CD-G11-003 CD-G11-004","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","ENGINE_NATIVE","RETEST","UNVALIDATED"
