"pattern_id","strategy_family_id","pattern_name","provenance","expiry_class","observability","source_ids","status"
"PAT-EXH-AGGRESSION-NO-FOLLOW-001","STR-EXHAUSTION-REVERSAL","Exhaustion Reversal / Aggressive Burst / No Follow-Through","WORLD_DERIVED","REACTION","DIRECT","S16","UNVALIDATED"
"PAT-EXH-EFFORT-RESULT-001","STR-EXHAUSTION-REVERSAL","Exhaustion Reversal / High Effort / Narrow Result","WORLD_DERIVED","REACTION","DIRECT","S10 S13","UNVALIDATED"
"PAT-EXH-LIQUIDATION-CASCADE-END-001","STR-EXHAUSTION-REVERSAL","Exhaustion Reversal / Liquidation Cascade / Organic Flow Failure","WORLD_DERIVED","EVENT","HYBRID","S24","UNVALIDATED"
"PAT-STACK-BUY-SUPPORT-RETEST-001","STR-STACKED-IMBALANCE-CONTINUATION","Stacked Imbalance Continuation / Buy Stack / Support Retest","WORLD_DERIVED","RETEST","DIRECT","S11 S12","UNVALIDATED"
"PAT-STACK-SELL-RESIST-RETEST-001","STR-STACKED-IMBALANCE-CONTINUATION","Stacked Imbalance Continuation / Sell Stack / Resistance Retest","WORLD_DERIVED","RETEST","DIRECT","S11 S12","UNVALIDATED"
"PAT-STACK-RANGE-POC-SHIFT-001","STR-STACKED-IMBALANCE-CONTINUATION","Stacked Imbalance Continuation / Range Exit / POC Shift","WORLD_DERIVED","BREAK_ACCEPT","DIRECT","S11","UNVALIDATED"
"PAT-STACK-PULLBACK-HOLD-REACCEL-001","STR-STACKED-IMBALANCE-CONTINUATION","Stacked Imbalance Continuation / Trend Pullback / Zone Hold / Re-acceleration","WORLD_DERIVED","RETEST","DIRECT","S11 S12","UNVALIDATED"
"PAT-STACK-PERSISTENCE-PROGRESS-001","STR-STACKED-IMBALANCE-CONTINUATION","Stacked Imbalance Continuation / Multi-Unit Persistence / Price Progress","WORLD_DERIVED","REACTION","DIRECT","S11","UNVALIDATED"
"PAT-ICE-BARRIER-DEPLETE-BREAK-001","STR-ICEBERG-BREAKOUT","Iceberg Breakout / Repeated Refill / Barrier Depletion / Break","WORLD_DERIVED","BREAK_ACCEPT","INFERRED","S17 S20","UNVALIDATED"
"PAT-ICE-HIDDEN-ACCUM-BUYBREAK-001","STR-ICEBERG-BREAKOUT","Iceberg Breakout / Hidden Accumulation / Buyer Initiative","WORLD_DERIVED","BREAK_ACCEPT","INFERRED","S17 S20","UNVALIDATED"
"PAT-ICE-HIDDEN-DISTRIB-SELLBREAK-001","STR-ICEBERG-BREAKOUT","Iceberg Breakout / Hidden Distribution / Seller Initiative","WORLD_DERIVED","BREAK_ACCEPT","INFERRED","S17 S20","UNVALIDATED"
"PAT-ICE-SECOND-ATTEMPT-DEPLETION-001","STR-ICEBERG-BREAKOUT","Iceberg Breakout / Second Attempt / Absorber Exhaustion","WORLD_DERIVED","BREAK_ACCEPT","INFERRED","S05","UNVALIDATED"
"PAT-ICE-BREAK-STOPS-ACCEPT-001","STR-ICEBERG-BREAKOUT","Iceberg Breakout / Wall Break / Stops / New-Level Acceptance","WORLD_DERIVED","BREAK_ACCEPT","INFERRED","S20 S21","UNVALIDATED"
"PAT-SWEEP-HIGH-ABSORB-SNAPBACK-001","STR-LIQUIDITY-SWEEP","Liquidity Sweep / High Stop Run / Sell Absorption / Snapback","WORLD_DERIVED","REACTION","HYBRID","S18 S20","UNVALIDATED"
"PAT-SWEEP-LOW-ABSORB-SNAPBACK-001","STR-LIQUIDITY-SWEEP","Liquidity Sweep / Low Stop Run / Buy Absorption / Snapback","WORLD_DERIVED","REACTION","HYBRID","S18 S23","UNVALIDATED"
"PAT-SWEEP-ICEBERG-DRYUP-001","STR-LIQUIDITY-SWEEP","Liquidity Sweep / Stops into Iceberg / Aggressor Dry-Up","WORLD_DERIVED","REACTION","INFERRED","S17","UNVALIDATED"
"PAT-SWEEP-QUICK-RETURN-TRAP-001","STR-LIQUIDITY-SWEEP","Liquidity Sweep / Quick Range Return / Trapped Traders","WORLD_DERIVED","REACTION","HYBRID","S16 S18","UNVALIDATED"
"PAT-SWEEP-FRONTRUN-LIQUIDITY-TARGET-001","STR-LIQUIDITY-SWEEP","Liquidity Sweep / Sell Stops / Front-Run Absorption / Offer Target","WORLD_DERIVED","REACTION","HYBRID","S23","UNVALIDATED"
"PAT-FA-RANGE-BREAK-RETURN-001","STR-FAILED-AUCTION","Failed Auction / Range Break / No Follow-Through / Return","WORLD_DERIVED","BREAK_ACCEPT","DIRECT","S05 S21","UNVALIDATED"
"PAT-FA-EXTREME-HVN-FLICKBACK-001","STR-FAILED-AUCTION","Failed Auction / Extreme Break / Outside HVN / Flickback","WORLD_DERIVED","REACTION","DIRECT","S06","UNVALIDATED"
"PAT-FA-TAIL-RANGE-FAILED-CONTINUE-001","STR-FAILED-AUCTION","Failed Auction / Tail / Tight Range / Continuation Failure","WORLD_DERIVED","BREAK_ACCEPT","DIRECT","S07","UNVALIDATED"
"PAT-FA-UNFINISHED-DRYUP-REVERSAL-001","STR-FAILED-AUCTION","Failed Auction / Unfinished Extreme / Aggressor Dry-Up / Reversal","WORLD_DERIVED","REACTION","DIRECT","S14","UNVALIDATED"
"PAT-FA-EVENT-NO-VALUE-MIGRATION-001","STR-FAILED-AUCTION","Failed Auction / Event Breakout / No Value Migration / Old-Range Return","WORLD_DERIVED","EVENT","HYBRID","S21 S22","UNVALIDATED"
"PAT-PS-BID-PULL-ASK-STACK-001","STR-PULLING-STACKING","Pulling / Stacking / Bid Pull / Ask Stack / Seller Control","WORLD_DERIVED","REACTION","DIRECT","S04 S26","UNVALIDATED"
"PAT-PS-ASK-PULL-BID-STACK-001","STR-PULLING-STACKING","Pulling / Stacking / Ask Pull / Bid Stack / Buyer Control","WORLD_DERIVED","REACTION","DIRECT","S04 S26","UNVALIDATED"
"PAT-PS-WALL-PULL-FRAGILITY-001","STR-PULLING-STACKING","Pulling / Stacking / Apparent Wall / Pull-on-Approach / Fragility","WORLD_DERIVED","REACTION","DIRECT","S04 S22","UNVALIDATED"
"PAT-PS-BEHIND-PRICE-STACK-RETEST-001","STR-PULLING-STACKING","Pulling / Stacking / Liquidity Behind Price / Retest Hold","WORLD_DERIVED","RETEST","DIRECT","S21 S26","UNVALIDATED"
"PAT-PS-ABSORB-THEN-PULL-CUTREVERSE-001","STR-PULLING-STACKING","Pulling / Stacking / Churn and Absorption / Protecting Wall Pull / Cut-and-Reverse","WORLD_DERIVED","REACTION","DIRECT","S05","UNVALIDATED"
"PAT-DF-POSITIVE-TAIL-SELLCONTROL-001","STR-DELTA-FLIP","Delta Flip / Positive Delta Tail / Seller Control","WORLD_DERIVED","REACTION","DIRECT","S11 S13","UNVALIDATED"
"PAT-DF-NEGATIVE-TAIL-BUYCONTROL-001","STR-DELTA-FLIP","Delta Flip / Negative Delta Tail / Buyer Control","WORLD_DERIVED","REACTION","DIRECT","S11 S13","UNVALIDATED"
"PAT-DF-NEGABS-NOLOW-POSFLIP-001","STR-DELTA-FLIP","Delta Flip / Negative Delta Absorbed / No Lower Low / Positive Flip","WORLD_DERIVED","REACTION","DIRECT","S08","UNVALIDATED"
"PAT-DF-SAMESIDE-DISAPPEAR-OPPOSITE-001","STR-DELTA-FLIP","Delta Flip / Same-Side Imbalance Disappears / Opposite Delta","WORLD_DERIVED","REACTION","DIRECT","S11","UNVALIDATED"
"PAT-DF-POSTEVENT-LIQUIDITY-REALIGN-001","STR-DELTA-FLIP","Delta Flip / Post-Event / Liquidity Reform / Directional Realignment","WORLD_DERIVED","EVENT","DIRECT","S22","UNVALIDATED"
"PAT-BI-BID-PERSIST-BUYCONFIRM-001","STR-BOOK-IMBALANCE","Book Imbalance / Persistent Bid Skew / Buy-Flow Confirmation","WORLD_DERIVED","REACTION","DIRECT","S25 S26","UNVALIDATED"
"PAT-BI-ASK-PERSIST-SELLCONFIRM-001","STR-BOOK-IMBALANCE","Book Imbalance / Persistent Ask Skew / Sell-Flow Confirmation","WORLD_DERIVED","REACTION","DIRECT","S25 S26","UNVALIDATED"
"PAT-BI-SKEW-NORESULT-FADE-001","STR-BOOK-IMBALANCE","Book Imbalance / One-Sided Skew / No Price Result / Fade","WORLD_DERIVED","REACTION","HYBRID","S16 S25","UNVALIDATED"
"PAT-BI-PULL-REVERSAL-CONFIRM-001","STR-BOOK-IMBALANCE","Book Imbalance / Skew Pull / Opposite Rebuild / Reversal","WORLD_DERIVED","REACTION","DIRECT","S04 S26","UNVALIDATED"
"PAT-BI-DEEP-STACK-TOPSHIFT-001","STR-BOOK-IMBALANCE","Book Imbalance / Deep Stack / Top-Book Shift / Aggressor Alignment","WORLD_DERIVED","REACTION","DIRECT","S25 S26","UNVALIDATED"
